transaction_id,customer_id,transaction_amount,transaction_date,transaction_count,region,transaction_status
dc3ff239-4e24-42c5-94d5-9af8f9e05d0f,c462919f-fb3c-47d6-a021-a1e836df8f22,6472.52,2023-01-24,1,North,Success
40317c23-2e57-4a11-a693-15c42de8ccfa,3fbcc121-64c0-4ee9-8b3f-768f64dc4ca3,11888.94,2023-08-15,4,North,Fail
8f8ba05a-b894-41b1-884d-535b07e74f47,accfe559-1352-43f8-be5b-566576287040,176.32,2023-06-03,3,East,Success
e15e4030-3ff8-4210-a8d2-706ceace6d6c,0741157b-4905-4159-89d7-559e32e3226e,280.61,2023-10-20,3,South,Success
146bad5b-52e0-4c27-bfe5-e7eed549f3a1,fcc03d95-498c-4dc7-8319-e22f8c852857,1438.27,2023-08-18,3,South,Success
b55d52e9-1fc9-443e-ae24-f621a4225283,1519a108-831a-4647-a85e-eff3c6a5acb7,3003.99,2023-11-06,4,North,Success
f3f31847-db37-4b74-9271-bf6e743e325e,e1cfba34-95aa-4992-9194-15c917014d82,1081.96,2023-12-25,0,West,Success
82354de7-3b70-4bee-999b-40ad3d558ca8,f9e667e5-95af-4966-9238-9fa9c3d437bd,153.61,2023-07-21,2,West,Success
3ea63a96-a275-40bc-8d36-1ea02756b8d9,c462919f-fb3c-47d6-a021-a1e836df8f22,1990.01,2023-02-07,4,North,Success
612e2293-0249-4146-bd6f-0e0648d396a3,2db5a124-df5b-48fc-bf10-caddc9bdfb1d,868.61,2023-09-17,4,North,Success
3d7425b7-d289-4fbc-8906-f72820b64ec3,5ef93d3c-d221-469a-a4dd-0d2c736ce14d,856.21,2023-07-07,6,South,Success
81a24bde-6322-479a-9a12-2ee63ccb27da,da7d1ba6-8d1d-45ad-bd94-cfcd1e0705f8,71.27,2023-02-26,4,West,Success
be60201c-4ebb-4d86-9692-b3b2f17f3fcf,78ca6e43-f61b-4491-ab13-46f3ef78df36,2855.44,2023-01-20,5,North,Success
4b27d0d9-8156-4e0e-bdc3-8fb68f79aee7,3537d49e-7ee8-43a1-a7f1-c863f55ad386,1305.37,2023-09-30,4,North,Success
96843d53-9704-4c0a-9446-41344f28eb69,967c912e-2bad-4f17-9678-e08a1181c6e3,9454.04,2023-04-29,2,East,Success
33d2d448-98de-49d4-ae18-0f20e39f86e0,e87157b7-18b3-4c68-a96a-5445b4724fd3,1002.84,2023-03-12,1,North,Success
23bf124b-9c79-44cb-bb8e-acf01f0a5f7d,483c4132-e319-4e89-b4cb-e3fe64869e2a,2163.77,2023-01-04,4,North,Success
8e435018-69c5-4abe-a9a1-295093f0de6f,dffa7790-7610-4921-85b9-868d37d5095d,2975.54,2023-08-09,3,West,Success
109813cf-29fa-4152-af01-486e376dd5f0,46c01b70-a8af-4db9-bf64-baff0f1cf456,134.91,2023-01-14,1,South,Fail
a47e86ea-a0e6-4dbf-a3ee-c907488d70c1,bdb068b2-1f12-4b1f-b58e-cc14e6bb8c87,25337.48,2023-01-03,2,West,Success
1673f790-b35d-4342-bce8-a8adf9cb4162,da7d1ba6-8d1d-45ad-bd94-cfcd1e0705f8,653.96,2023-08-04,6,South,Success
0eefc448-bd52-4ac5-a0c8-aee370d66e02,4bd20f82-f7c8-461c-8e91-92ccbc1fde38,1985.21,2023-08-17,3,East,Success
e7e3c3b9-7f49-4335-8443-7481f18e3408,24211d5a-b0d5-466f-81d3-2cf48426d627,2365.39,2023-12-02,3,North,Success
eab1ddad-a4ec-465b-af4d-4f43b994ef4a,61f7e943-87ae-407d-b110-fa9938f7c489,412.51,2023-07-05,3,East,Success
3bffef27-fd00-4d71-8aa4-e1b544d1c9e8,0638f6ad-0ad5-4aee-80a8-62d1c4fc29c9,10060.54,2023-02-24,2,South,Success
2c8f4137-8cd6-41f6-8219-12cbc9199ef2,6c0665aa-4baa-4266-aa5b-f6cd2f121a3f,1508.92,2023-09-11,2,West,Success
42c64b44-68bc-4fcb-b339-6acd5867c4b4,f9e667e5-95af-4966-9238-9fa9c3d437bd,848.81,2023-01-24,2,West,Success
5543c5f8-1906-455f-b478-cb6380e9ee55,63abd420-17ab-488c-ba9e-e7b45e2dd771,1294.93,2023-06-11,1,East,Success
157950dc-93c9-4aee-9285-648f3a136e03,ae77b92b-3d5c-4c71-8836-783ed51a5a49,2743.81,2023-06-07,4,South,Success
a1c11992-b272-4aae-8186-45f0b591bd91,c93ee8d0-0685-4b22-b59c-05586b26efb2,1110.94,2023-03-23,3,East,Success
da43faad-35b0-4698-b06e-761dadedb051,5d5f0544-7ef4-4045-9b20-44c47802b985,3159.96,2023-06-08,4,East,Success
2feaaec0-bb55-411b-a7a9-be8a9b186687,ac9c9775-2ed6-41aa-86ca-0520bdca0940,145.21,2023-07-07,5,North,Fail
